pnum;cvrnum;edunum;postalcode;municipalitycode;regioncode;regionyearofmeasurement;regionpopulation;approvalamount;currentamount;propensity;nearestfacilitykm;sectorcode;businesscode;employees;established;committeecode;municipalityyearofmeasurement;municipalitypopulation;avgcommutekm;employmentrate;employmentavailabilityrate;yearlydisposableincome;pubyear;liquidityratio;roi;solvencyratio;netturnover;grossprofit;equity;netresult;balance;currency
1007186165;10002850;1530;2850;230;1084;2019;1848989;1.0;0.0;0.0;38.8;591110.0;80.0;1.0;1999.0;9;2018;56807;18.3;77.7;79.7;412461.0;2019.0;63.36;-55.5;-51.1;;-113.0;-1325.0;-1453.0;;DKK
1007189555;10003423;1205;7550;657;1082;2019;1326913;2.0;0.0;0.0;64.7;465100.0;60.0;10.0;1999.0;61;2018;89085;22.3;76.8;79.2;229212.0;2019.0;164.68;16.0;40.4;;3526.0;6365.0;1865.0;;DKK
1007675670;10007127;1220;4400;326;1085;2019;837087;2.0;0.0;0.0;69.4;201400.0;60.0;;2000.0;61;2018;48524;28.0;71.4;74.1;222710.0;2019.0;153.03;19.8;56.2;14374000.0;7954000.0;11480000.0;3155000.0;;DKK
1007675646;10007127;1110;2880;159;1084;2019;1848989;1.0;1.0;1.0;9.5;201400.0;60.0;;2000.0;61;2018;69429;12.5;76.3;78.7;250679.0;2019.0;153.03;19.8;56.2;14374000.0;7954000.0;11480000.0;3155000.0;;DKK
1007675476;10007127;1110;2200;101;1084;2019;1848989;1.0;0.0;0.0;18.9;201400.0;60.0;;2000.0;61;2018;633021;12.6;73.2;76.2;228338.0;2019.0;153.03;19.8;56.2;14374000.0;7954000.0;11480000.0;3155000.0;;DKK
1007675670;10007127;1110;4400;326;1085;2019;837087;4.0;3.0;0.75;37.8;201400.0;60.0;;2000.0;61;2018;48524;28.0;71.4;74.1;222710.0;2019.0;153.03;19.8;56.2;14374000.0;7954000.0;11480000.0;3155000.0;;DKK
1002630661;81845816;92;6400;540;1083;2019;1223894;16.0;3.0;0.1875;31.1;451120.0;80.0;20.0;1977.0;61;2018;74233;20.1;72.9;75.3;215616.0;2019.0;124.3;-2.6;34.6;;11399.0;9191.0;-615.0;;DKK
1002630661;81845816;1250;6400;540;1083;2019;1223894;2.0;1.0;0.5;201.8;451120.0;80.0;20.0;1977.0;61;2018;74233;20.1;72.9;75.3;215616.0;2019.0;124.3;-2.6;34.6;;11399.0;9191.0;-615.0;;DKK
1002908027;11326943;1205;6392;580;1083;2019;1223894;1.0;0.0;0.0;40.6;107110.0;60.0;500.0;1987.0;61;2018;58780;24.2;74.0;76.4;213650.0;2019.0;91.88;1.7;20.4;941932.0;280901.0;92269.0;2555.0;;DKK
1002908027;11326943;1220;6392;580;1083;2019;1223894;3.0;2.0;0.666666666666667;40.6;107110.0;60.0;500.0;1987.0;61;2018;58780;24.2;74.0;76.4;213650.0;2019.0;91.88;1.7;20.4;941932.0;280901.0;92269.0;2555.0;;DKK
1003479162;11326943;1220;2630;169;1084;2019;1848989;2.0;2.0;1.0;16.1;107110.0;60.0;500.0;1987.0;61;2018;50964;17.2;74.4;77.5;225609.0;2019.0;91.88;1.7;20.4;941932.0;280901.0;92269.0;2555.0;;DKK
1002908027;11326943;1110;6392;580;1083;2019;1223894;1.0;0.0;0.0;30.8;107110.0;60.0;500.0;1987.0;61;2018;58780;24.2;74.0;76.4;213650.0;2019.0;91.88;1.7;20.4;941932.0;280901.0;92269.0;2555.0;;DKK
1000698017;14204202;1180;7120;766;1082;2019;1326913;3.0;1.0;0.333333333333333;88.3;466900.0;60.0;10.0;1990.0;61;2018;46685;23.4;80.0;82.0;233866.0;2019.0;115.93;17.6;16.1;;9996.0;2255.0;1755.0;;DKK
1023940503;10008123;1205;2730;151;1084;2019;1848989;3.0;1.0;0.333333333333333;19.7;631100.0;60.0;100.0;1999.0;61;2018;48475;14.1;75.3;77.7;236121.0;2018.0;80.32;10.1;43.8;;143201.0;83256.0;12734.0;;DKK
1023938894;10008123;1205;8200;751;1082;2019;1326913;3.0;2.0;0.666666666666667;12.0;631100.0;60.0;100.0;1999.0;61;2018;349977;21.2;70.5;73.4;234439.0;2018.0;80.32;10.1;43.8;;143201.0;83256.0;12734.0;;DKK
1007215815;10008123;1205;2600;161;1084;2019;1848989;4.0;0.0;0.0;13.1;631100.0;60.0;100.0;1999.0;61;2018;23129;12.9;76.5;79.5;232928.0;2018.0;80.32;10.1;43.8;;143201.0;83256.0;12734.0;;DKK
1023424181;25051394;92;7800;661;1082;2019;1326913;3.0;2.0;0.666666666666667;29.9;451120.0;60.0;100.0;1999.0;61;2018;58566;22.2;78.0;79.8;224254.0;2019.0;76.32;4.2;24.2;;27758.0;20103.0;2187.0;;DKK
1007255388;25051394;1250;7500;657;1082;2019;1326913;4.0;1.0;0.25;78.6;451120.0;60.0;100.0;1999.0;61;2018;89085;22.3;76.8;79.2;229212.0;2019.0;76.32;4.2;24.2;;27758.0;20103.0;2187.0;;DKK
1009292116;25051394;92;7620;665;1082;2019;1326913;10.0;1.0;0.1;31.1;451120.0;60.0;100.0;1999.0;61;2018;19748;23.5;76.5;78.4;217221.0;2019.0;76.32;4.2;24.2;;27758.0;20103.0;2187.0;;DKK
1007255388;25051394;92;7500;657;1082;2019;1326913;12.0;4.0;0.333333333333333;3.6;451120.0;60.0;100.0;1999.0;61;2018;89085;22.3;76.8;79.2;229212.0;2019.0;76.32;4.2;24.2;;27758.0;20103.0;2187.0;;DKK
1009375143;25051394;92;7400;657;1082;2019;1326913;10.0;3.0;0.3;41.6;451120.0;60.0;100.0;1999.0;61;2018;89085;22.3;76.8;79.2;229212.0;2019.0;76.32;4.2;24.2;;27758.0;20103.0;2187.0;;DKK
1009375186;25051394;92;7430;756;1082;2019;1326913;10.0;1.0;0.1;31.3;451120.0;60.0;100.0;1999.0;61;2018;41506;23.0;76.2;78.5;221583.0;2019.0;76.32;4.2;24.2;;27758.0;20103.0;2187.0;;DKK
1002451339;75152116;1110;8300;727;1082;2019;1326913;6.0;3.0;0.5;28.4;284900.0;60.0;100.0;1984.0;61;2018;22854;23.1;77.6;79.5;238007.0;2019.0;157.6;12.6;28.9;;103129.0;55367.0;19878.0;;DKK
1002451339;75152116;1220;8300;727;1082;2019;1326913;4.0;3.0;0.75;59.1;284900.0;60.0;100.0;1984.0;61;2018;22854;23.1;77.6;79.5;238007.0;2019.0;157.6;12.6;28.9;;103129.0;55367.0;19878.0;;DKK
1000022074;10125235;92;8210;751;1082;2019;1326913;4.0;2.0;0.5;8.9;451120.0;60.0;50.0;1986.0;61;2018;349977;21.2;70.5;73.4;234439.0;2019.0;122.68;14.0;21.4;;63021.0;31744.0;13957.0;;DKK
1000022074;10125235;1250;8210;751;1082;2019;1326913;2.0;1.0;0.5;40.9;451120.0;60.0;50.0;1986.0;61;2018;349977;21.2;70.5;73.4;234439.0;2019.0;122.68;14.0;21.4;;63021.0;31744.0;13957.0;;DKK
1007215947;10008522;1260;2750;151;1084;2019;1848989;2.0;0.0;0.0;126.3;454000.0;60.0;;1999.0;61;2018;48475;14.1;75.3;77.7;236121.0;2019.0;562.44;0.8;82.2;;42.0;4127.0;161.0;;DKK
1007676111;24256790;1220;9800;860;1081;2019;590580;5.0;3.0;0.6;55.2;212000.0;60.0;;1931.0;61;2018;64610;25.1;74.7;77.4;217772.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1006455042;24256790;1220;2880;159;1084;2019;1848989;10.0;9.0;0.9;9.5;212000.0;60.0;;1931.0;61;2018;69429;12.5;76.3;78.7;250679.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1010468147;24256790;1220;2820;157;1084;2019;1848989;10.0;5.0;0.5;16.4;212000.0;60.0;;1931.0;61;2018;75041;13.7;76.6;78.7;427370.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1007676162;24256790;1220;3400;201;1084;2019;1848989;22.0;19.0;0.863636363636364;33.1;212000.0;60.0;;1931.0;61;2018;25673;19.4;83.0;84.6;306103.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1007675697;24256790;1220;4400;326;1085;2019;837087;16.0;10.0;0.625;69.4;212000.0;60.0;;1931.0;61;2018;48524;28.0;71.4;74.1;222710.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1007676200;24256790;1220;3500;151;1084;2019;1848989;2.0;1.0;0.5;7.1;212000.0;60.0;;1931.0;61;2018;48475;14.1;75.3;77.7;236121.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1006455042;24256790;1190;2880;159;1084;2019;1848989;1.0;1.0;1.0;10.7;212000.0;60.0;;1931.0;61;2018;69429;12.5;76.3;78.7;250679.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1010468147;24256790;1190;2820;157;1084;2019;1848989;2.0;1.0;0.5;5.0;212000.0;60.0;;1931.0;61;2018;75041;13.7;76.6;78.7;427370.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1006455042;24256790;1170;2880;159;1084;2019;1848989;2.0;1.0;0.5;9.5;212000.0;60.0;;1931.0;61;2018;69429;12.5;76.3;78.7;250679.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1007676162;24256790;1170;3400;201;1084;2019;1848989;1.0;1.0;1.0;33.1;212000.0;60.0;;1931.0;61;2018;25673;19.4;83.0;84.6;306103.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1007676111;24256790;1160;9800;860;1081;2019;590580;3.0;3.0;1.0;156.5;212000.0;60.0;;1931.0;61;2018;64610;25.1;74.7;77.4;217772.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1006455042;24256790;1110;2880;159;1084;2019;1848989;1.0;2.0;2.0;9.5;212000.0;60.0;;1931.0;61;2018;69429;12.5;76.3;78.7;250679.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1010475933;24256790;1220;2820;157;1084;2019;1848989;2.0;1.0;0.5;16.4;212000.0;60.0;;1931.0;61;2018;75041;13.7;76.6;78.7;427370.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1007675697;24256790;1110;4400;326;1085;2019;837087;4.0;1.0;0.25;37.8;212000.0;60.0;;1931.0;61;2018;48524;28.0;71.4;74.1;222710.0;2019.0;224.15;41.8;45.9;122021000.0;101933000.0;57593000.0;38951000.0;;DKK
1004904522;27230350;1190;8600;740;1082;2019;1326913;2.0;2.0;1.0;27.8;289300.0;60.0;50.0;2003.0;61;2018;93782;25.4;77.8;80.1;242114.0;2019.0;138.69;10.3;38.9;;43932.0;24788.0;4779.0;;DKK
1004904522;27230350;1110;8600;740;1082;2019;1326913;8.0;6.0;0.75;2.8;289300.0;60.0;50.0;2003.0;61;2018;93782;25.4;77.8;80.1;242114.0;2019.0;138.69;10.3;38.9;;43932.0;24788.0;4779.0;;DKK
1007253873;10011418;1140;2630;169;1084;2019;1848989;2.0;1.0;0.5;214.0;16200.0;80.0;5.0;1999.0;61;2018;50964;17.2;74.4;77.5;225609.0;2020.0;120.19;17.3;24.3;;1988.0;311.0;161.0;;DKK
1024523264;44883112;92;8600;740;1082;2019;1326913;8.0;5.0;0.625;3.0;451120.0;60.0;200.0;1954.0;61;2018;93782;25.4;77.8;80.1;242114.0;2019.0;126.9;5.1;24.8;2128399.0;199664.0;117255.0;8911.0;;DKK
1010332253;44883112;92;8600;740;1082;2019;1326913;2.0;2.0;1.0;3.0;451120.0;60.0;200.0;1954.0;61;2018;93782;25.4;77.8;80.1;242114.0;2019.0;126.9;5.1;24.8;2128399.0;199664.0;117255.0;8911.0;;DKK
1011953316;44883112;92;8250;751;1082;2019;1326913;2.0;2.0;1.0;32.5;451120.0;60.0;200.0;1954.0;61;2018;349977;21.2;70.5;73.4;234439.0;2019.0;126.9;5.1;24.8;2128399.0;199664.0;117255.0;8911.0;;DKK
1018167022;44883112;92;2500;101;1084;2019;1848989;4.0;5.0;1.25;22.0;451120.0;60.0;200.0;1954.0;61;2018;633021;12.6;73.2;76.2;228338.0;2019.0;126.9;5.1;24.8;2128399.0;199664.0;117255.0;8911.0;;DKK
1018167057;44883112;92;2605;153;1084;2019;1848989;3.0;1.0;0.333333333333333;14.5;451120.0;60.0;200.0;1954.0;61;2018;35143;13.7;70.2;74.1;211029.0;2019.0;126.9;5.1;24.8;2128399.0;199664.0;117255.0;8911.0;;DKK
