cvrnum;employees;established;pubyear;liquidityratio;roi;solvencyratio;netturnover;grossprofit;equity;netresult;currency;
10002850;1;1999;2019;63,36;-55,5;-51,1;-;-113;-1.325;-1.453;DKK;
10003423;10 - 19;1999;2019;164,68;16;40,4;-;3.526;6.365;1.865;DKK;
10007127;-;2000;2019;153,03;19,8;56,2;14.374.000;7.954.000;11.480.000;3.155.000;DKK;
81845816;20 - 49;1977;2019;124,3;-2,6;34,6;-;11.399;9.191;-615;DKK;
11326943;500 - 999;1987;2019;91,88;1,7;20,4;941.932;280.901;92.269;2.555;DKK;
14204202;10 - 19;1990;2019;115,93;17,6;16,1;-;9.996;2.255;1.755;DKK;
10008123;100 - 199;1999;2018;80,32;10,1;43,8;-;143.201;83.256;12.734;DKK;
25051394;100 - 199;1999;2019;76,32;4,2;24,2;-;27.758;20.103;2.187;DKK;
75152116;100 - 199;1984;2019;157,6;12,6;28,9;-;103.129;55.367;19.878;DKK;
10125235;50 - 99;1986;2019;122,68;14;21,4;-;63.021;31.744;13.957;DKK;
10008522;-;1999;2019;562,44;0,8;82,2;-;42;4.127;161;DKK;
24256790;-;1931;2019;224,15;41,8;45,9;122.021.000;101.933.000;57.593.000;38.951.000;DKK;
27230350;50 - 99;2003;2019;138,69;10,3;38,9;-;43.932;24.788;4.779;DKK;
10011418;5 - 9;1999;2020;120,19;17,3;24,3;-;1.988;311;161;DKK;
44883112;200 - 499;1954;2019;126,9;5,1;24,8;2.128.399;199.664;117.255;8.911;DKK;
13478805;200 - 499;1989;2019;175,46;11,5;9,7;261.748;119.808;48.019;21.445;USD;
14808701;200 - 499;1990;2018;75,1;-19,1;-15,2;298.510;70.613;-24.911;-32.193;DKK;
10017106;2 - 4;1985;2019;236,45;7,9;59,5;-;1.452;1.113;120;DKK;
10024846;10 - 19;1985;2020;313,24;2,4;64;-;7.897;11.045;-121;DKK;
10025559;2 - 4;2000;2019;52,98;-7,6;34,5;-;1.640;1.936;-428;DKK;
10028663;2 - 4;2000;2019;148,22;6;55;-;1.559;984;57;DKK;
10030358;20 - 49;2000;2019;291,16;29,7;70,5;-;28.336;28.562;9.247;DKK;
20545739;20 - 49;1997;2019;130,64;5,2;26,6;-;27.347;25.942;3.702;DKK;
27970508;2 - 4;2004;2019;239,22;-9,2;61,8;-;923;391;-47;DKK;
10031451;2 - 4;2000;2019;144,09;-0,3;24;-;1.582;1.833;-150;DKK;
10032512;5 - 9;2000;2019;568,33;2,2;89,8;-;2.067;2.331;146;DKK;
10032652;20 - 49;2000;2019;561,43;9,9;82,9;-;15.679;27.571;2.836;DKK;
10033969;2 - 4;2000;2019;311,38;4,8;68,5;-;1.323;3.069;228;DKK;
10035066;50 - 99;2000;2019;134,91;-13,6;6;-;20.055;729;-1.539;DKK;
